"","EntityId","Symbol","Name","PriceSourceUser","Repno","IssueId","Date1","Date2","LogChange1","LogChange2","Close1","Close2","SplitFactor1","SplitFactor2","Multiplier","VolumeSpike","Recommendation"
"1",1092118,"AATG.L","Albion Technology & General Vct Plc","YahooAndEODData","",NA,2012-03-26,2012-07-12,-4.46481276,4.93291,0.84,4812.50049,1,1,108.333333333333,0,"M"
"2",308743,"ACAD","ACADIA Pharmaceuticals Inc.","ReutersAndEODData","A284F",1,2008-06-16,2008-10-13,-0.564041853,0.475781918,4.83,2.43,1,1,1.66666666666667,-0.1,"I"
"3",1101264,"ACC.L","Access Intelligence Plc","YahooAndEODData","",NA,2007-07-26,2007-12-14,-0.367724776,0.45953232,4.5,2.375,1,1,1.5,0,"I"
"4",294987,"AIGI","Axia International Group Inc","ReutersAndEODData","14795",1,1996-06-06,1996-06-13,0.4054651,-0.451984584,3.46875,2.625,1.32616507e-15,1.32616507e-15,1.54166666666667,-18.2,"R"
"5",294987,"AIGI","Axia International Group Inc","ReutersAndEODData","14795",1,1996-06-13,1996-06-21,-0.451984584,0.459532142,2.625,2.375,1.32616507e-15,1.32616507e-15,1.58333333333333,-20.5,"I"
"6",1101285,"AKR.L","Akers Biosciences Inc.","YahooAndEODData","",NA,2013-11-22,2013-12-23,5.02752352,-4.55547047,522.5,4.125,1,1,120.833333333333,-3.7,"F"
"7",306249,"ALLR","Allaire Corporation","ReutersAndEODData","A1D8F",1,2000-04-12,2000-04-18,-0.399827,0.450866669,31.5,47.875,1,1,1.54166666666667,0.4,"I"
"8",319641,"AMPI3","Ampla Investimentos e Servicos SA","ReutersAndEODData","AFC59",1,2007-01-16,2007-02-16,0.8109302,-0.8311329,90,39.2,1,1,2.29166666666667,0,"I"
"9",319641,"AMPI3","Ampla Investimentos e Servicos SA","ReutersAndEODData","AFC59",1,2007-02-16,2007-03-02,-0.8311329,0.8311329,39.2,90,1,1,2.29166666666667,0.2,"I"
"10",319641,"AMPI3","Ampla Investimentos e Servicos SA","ReutersAndEODData","AFC59",1,2007-01-15,2007-04-03,0.693647,-0.58778584,40,50,1,1,1.91666666666667,-0.7,"I"
"11",319641,"AMPI3","Ampla Investimentos e Servicos SA","ReutersAndEODData","AFC59",1,2007-02-16,2007-07-16,-0.8311329,0.7996446,39.2,88.99,1,1,2.25,0.2,"I"
"12",319641,"AMPI3","Ampla Investimentos e Servicos SA","ReutersAndEODData","AFC59",1,2007-07-16,2007-08-01,0.7996446,-0.7996439,88.99,40,1,1,2.20833333333333,0.1,"I"
"13",1092251,"AS15.L","ALLIED DOMECQ FINANCIAL SERVICES 6.625% NTS 12/6/1","EODData","",NA,2012-07-12,2012-07-24,5.097646,-5.080274,2691.81763,40.3429,1,1,162.5,0,"M"
"14",299125,"ATNP","Atlantis Technology Group","ReutersAndEODData","94805",1,2007-10-10,2007-10-16,0.8171999,-0.9444613,6,0.07,275000.063,149.999939,2.41666666666667,0.3,"M"
"15",311296,"BBO","bbo Financial Services Inc.","ReutersAndEODData","A5F16",1,1998-08-12,1998-12-09,-0.358212143,0.4403118,325,365,1.13399971,1.13399971,1.5,-1.2,"I"
"16",311296,"BBO","bbo Financial Services Inc.","ReutersAndEODData","A5F16",1,1998-12-09,1999-02-12,0.4403118,-0.4855078,365,160,1.13399971,1.13399971,1.58333333333333,-0.3,"I"
"17",311296,"BBO","bbo Financial Services Inc.","ReutersAndEODData","A5F16",1,1999-02-12,1999-03-11,-0.4855078,0.4054651,160,240,1.13399971,1.13399971,1.54166666666667,-1.6,"I"
"18",311367,"BHS","Brookfield Homes Corporation","ReutersAndEODData","A651E",1,2008-11-19,2008-11-24,-0.457488716,0.434636772,5.93,4,1,1,1.54166666666667,0,"I"
"19",1099162,"BIOM.L","Biome Technologies plc","YahooAndEODData","A4018",1,2013-08-06,2013-08-13,4.57080269,-4.477337,71.5,0.75,1,1,91.6666666666667,-3.4,"M"
"20",318244,"BKEP","Blueknight Energy Partners L.P.","ReutersAndEODData","AE8F1",1,2008-07-17,2008-11-28,-0.728865564,0.8612308,11,2.65,1,1,2.20833333333333,0,"I"
"21",318244,"BKEP","Blueknight Energy Partners L.P.","ReutersAndEODData","AE8F1",1,2009-02-19,2009-02-20,-0.350860447,0.403853863,2.07,3.1,1,1,1.45833333333333,-0.3,"I"
"22",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-02-07,2008-02-15,-0.570350945,0.558975,2.25,3.9,0.09749998,0.09749998,1.75,-0.6,"I"
"23",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-02-15,2008-02-18,0.558975,-0.5151081,3.9,2.33,0.09749998,0.09749998,1.70833333333333,-0.7,"I"
"24",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-01-04,2008-03-14,-0.341749758,0.4193108,2.7,4,0.09749998,0.09749998,1.45833333333333,-2.6,"I"
"25",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-03-17,2008-03-20,-0.490206331,0.5246191,2.45,3.65,0.09749998,0.09749998,1.66666666666667,-8.7,"I"
"26",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-03-14,2008-03-31,0.4193108,-0.410959184,4,2.42,0.09749998,0.09749998,1.5,-9.1,"I"
"27",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-03-31,2008-04-03,-0.410959184,0.41096,2.42,3.65,0.09749998,0.09749998,1.5,-4.5,"I"
"28",311433,"BNBR3","Banco do Nordeste do Brasil S.A.","ReutersAndEODData","A67D3",1,2008-02-18,2008-04-14,-0.5151081,0.624450743,2.33,4.5,0.09749998,0.09749998,1.75,-10,"I"
"29",312599,"BSCT5","Banco do Estado de Santa Catarina S.A.","ReutersAndEODData","A8260",2,2007-08-21,2007-12-06,0.7614729,-0.7801593,14.99,2.75,1,1,2.16666666666667,-6.7,"I"
"30",312599,"BSCT5","Banco do Estado de Santa Catarina S.A.","ReutersAndEODData","A8260",2,2007-12-06,2008-01-02,-0.7801593,0.8938179,2.75,11,1,1,2.29166666666667,-1.3,"I"
"31",1092457,"BVC.L","BATM Advanced Communications Ltd","YahooAndEODData","A3320",1,2000-11-30,2000-12-01,4.528537,-4.570384,282.5,2.925,1,1,95.8333333333333,-0.2,"M"
"32",1092457,"BVC.L","BATM Advanced Communications Ltd","YahooAndEODData","A3320",1,2000-12-01,2000-12-04,-4.570384,4.52512741,2.925,270,1,1,95.8333333333333,-1.7,"M"
"33",1092457,"BVC.L","BATM Advanced Communications Ltd","YahooAndEODData","A3320",1,2000-12-04,2000-12-05,4.52512741,-4.530269,270,2.90999985,1,1,91.6666666666667,-1.2,"M"
"34",308840,"CAE.TO","CAE, Inc.","ReutersAndEODData","A28D6",1,1986-06-26,1986-06-30,-0.6931472,0.7357068,11.375,12,4,2,2.04166666666667,0.2,"F"
"35",311371,"CALICHERAB","Soc de Inversiones Pampa Calichera SA","ReutersAndEODData","A656F",2,2002-05-13,2002-08-28,0.6690497,-0.76445955,123,60,1.02999985,1.02999985,2.04166666666667,-2.4,"F"
"36",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-08-06,2012-08-07,-0.379281431,0.4003494,20.25,30.22,0.502820969,0.502820969,1.45833333333333,0.1,"E"
"37",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-08-30,2012-09-11,0.392606825,-0.436831921,29.75,20.19,0.502820969,0.502820969,1.5,-0.3,"I"
"38",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-09-11,2012-09-12,-0.436831921,0.4281544,20.19,30.98,0.502820969,0.502820969,1.54166666666667,-0.5,"I"
"39",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-09-12,2012-09-14,0.4281544,-0.439102054,30.98,20.17,0.502820969,0.502820969,1.54166666666667,-0.7,"I"
"40",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-09-14,2012-09-17,-0.439102054,0.432689816,20.17,31.09,0.502820969,0.502820969,1.54166666666667,-0.1,"I"
"41",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-09-17,2012-09-19,0.432689816,-0.411209583,31.09,20.25,0.502820969,0.502820969,1.54166666666667,0.1,"I"
"42",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2012-09-19,2012-09-20,-0.411209583,0.415456355,20.25,30.68,0.502820969,0.502820969,1.5,0.2,"I"
"43",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2013-11-18,2013-11-20,0.356718779,-0.405617625,32.73,21.75,1,1,1.45833333333333,-0.1,"I"
"44",295034,"CATO","Cato Corp","ReutersAndEODData","15723",1,2013-11-20,2013-11-25,-0.405617625,0.456524432,21.75,33.75,1,1,1.54166666666667,0.3,"I"
"45",909810,"CDFT","Citadel Eft Inc","EODData","",NA,2013-06-04,2013-09-09,-0.4054652,0.479573071,4e-04,10.5,1,1,1.54166666666667,-7.3,"M"
"46",315040,"CGHI","Centurion Gold Holdings, Inc.","ReutersAndEODData","AAACC",1,2002-12-02,2002-12-12,2.38774276,-2.70805025,4.41,0.2,1,1,12.9166666666667,-2.7,"I"
