EntityId,Symbol,Name,PriceSourceUser,Repno,IssueId,Date1,Date2,LogChange1,LogChange2,Close1,Close2,SplitFactor1,SplitFactor2,Multiplier,VolumeSpike
317580,CGQ,"Corporacion Grupo Quimico, C.A.",ReutersAndEODData,AD7F8,1,3/17/1994,8/17/1994,0.530628264,-0.567984045,85,85,1,1,1.75,0
310875,CHILE,Banco de Chile,ReutersAndEODData,A531A,1,6/22/2000,6/23/2000,-0.562882364,0.5628819,13.1,23,1.12882566,1.12882566,1.75,0.1
1011124,CIRFP,Continental Airl Fin,YahooAndEODData,,,10/29/2008,3/2/2009,0.4938143,-0.4489077,34,10,1,1,1.5833333333333333,-3.7
1074564,CNAB,United Cannabis Corp.,YahooAndEODData,,,2/27/2014,3/7/2014,-0.505094945,0.557118833,0.35,7,16,16,1.7083333333333333,-1.8
1074564,CNAB,United Cannabis Corp.,YahooAndEODData,,,2/27/2014,3/18/2014,-0.505094945,0.427937955,0.35,13.5,16,16,1.5833333333333333,-3.1
1074564,CNAB,United Cannabis Corp.,YahooAndEODData,,,2/27/2014,3/25/2014,-0.505094945,0.6016856,0.35,7.1,16,4,1.75,-3.3
1074564,CNAB,United Cannabis Corp.,YahooAndEODData,,,11/15/2013,3/26/2014,-1.38629436,1.38629436,0.00107421877,7.1,16,1,4,-5.7
306833,COIB,Computerized Thermal,ReutersAndEODData,A1FE9,1,8/2/2000,1/2/2001,-0.422559857,0.459532142,3.625,2.375,1,1,1.5416666666666667,0.1
1092607,CR4.L,CORE VCT IV PLC ORD GBP0.0001,YahooAndEODData,,,7/30/2012,8/2/2012,-0.419765621,0.523106337,800.7353,1960.02185,1,1,1.5833333333333333,0
1092607,CR4.L,CORE VCT IV PLC ORD GBP0.0001,YahooAndEODData,,,8/2/2012,8/3/2012,0.523106337,-0.475414872,1960.02185,1218.40271,1,1,1.6666666666666667,0
1101400,CRE.L,Creston plc,YahooAndEODData,A338D,1,1/14/2000,4/17/2000,-0.3215875,0.40177995,161.446,130.107,1,1,1.4166666666666667,-1.2
311189,CTC-B,Telefonica Chile SA,ReutersAndEODData,A5AFC,2,11/24/1997,11/26/1997,-0.816502452,0.7419373,1000,2100,1,1,2.1666666666666665,-6.7
1035900,CYGXL,Citigroup Inc.,YahooAndEODData,,,4/4/2014,4/7/2014,-2.29600286,2.30002165,93.74,935,1,1,10,-4
1099390,CYS.L,Chrysalis Vct Plc,YahooAndEODData,,,7/10/2012,7/23/2012,4.225023,-5.278944,3555.55542,53.3333,1,1,116.66666666666669,0
1164909,DNLMY,Dunelm Group Plc,YahooAndEODData,,,4/15/2014,4/17/2014,-2.29965687,2.30258512,1.71,16.6,1,1,10,0
295575,DXLG,Destination XL Group Inc,ReutersAndEODData,26100,1,10/21/1987,11/30/1987,0.3629055,-0.405464619,11.5,4,2.25,2.25,1.4583333333333333,-0.1
322357,EFU,ProShares UltraShort MSCI EAFE (ETF),YahooAndEODData,B291F,1,10/13/2008,12/23/2008,-0.392641276,0.468441427,137.08,100.52,0.25,0.25,1.5416666666666667,-0.2
